YEAR,MONTH,flight_date,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,cancelled,diverted,distance,is_delayed_15
2025.0,1.0,2025-01-01,758.0,PSC,AZA,1.0,-17.0,0,0,977.0,0
2025.0,1.0,2025-01-01,3628.0,PGD,MCI,8.0,9.0,0,0,1126.0,0
2025.0,1.0,2025-01-01,3629.0,MCI,PGD,-1.0,-6.0,0,0,1126.0,0
2025.0,1.0,2025-01-01,932.0,PGD,BLV,158.0,159.0,0,0,921.0,1
2025.0,1.0,2025-01-01,933.0,BLV,PGD,152.0,146.0,0,0,921.0,1
2025.0,1.0,2025-01-01,3774.0,SRQ,CAK,59.0,44.0,0,0,934.0,1
2025.0,1.0,2025-01-01,3775.0,CAK,SRQ,44.0,49.0,0,0,934.0,1
2025.0,1.0,2025-01-01,2189.0,GRR,SRQ,316.0,318.0,0,0,1080.0,1
2025.0,1.0,2025-01-01,2192.0,SFB,GRR,260.0,257.0,0,0,1001.0,1
2025.0,1.0,2025-01-01,2195.0,SRQ,GRR,339.0,327.0,0,0,1080.0,1
2025.0,1.0,2025-01-01,570.0,GRR,SFB,241.0,251.0,0,0,1001.0,1
2025.0,1.0,2025-01-01,910.0,PSM,PGD,165.0,155.0,0,0,1279.0,1
2025.0,1.0,2025-01-01,963.0,PGD,PSM,180.0,162.0,0,0,1279.0,1
2025.0,1.0,2025-01-01,2469.0,PGD,GRR,-12.0,38.0,0,0,1118.0,1
2025.0,1.0,2025-01-01,877.0,GRR,PGD,38.0,84.0,0,0,1118.0,1
2025.0,1.0,2025-01-01,879.0,GRR,PGD,169.0,183.0,0,0,1118.0,1
2025.0,1.0,2025-01-01,924.0,PGD,GRR,111.0,145.0,0,0,1118.0,1
2025.0,1.0,2025-01-01,1123.0,PIT,PIE,-10.0,2.0,0,0,878.0,0
2025.0,1.0,2025-01-01,1127.0,PIT,SRQ,-7.0,-16.0,0,0,912.0,0
2025.0,1.0,2025-01-01,2749.0,SRQ,PIT,-16.0,-34.0,0,0,912.0,0
2025.0,1.0,2025-01-01,2756.0,PIE,PIT,4.0,-5.0,0,0,878.0,0
2025.0,1.0,2025-01-01,1586.0,PVU,AZA,-3.0,-25.0,0,0,477.0,0
2025.0,1.0,2025-01-01,1588.0,BIL,AZA,-2.0,15.0,0,0,878.0,1
2025.0,1.0,2025-01-01,1595.0,PVU,AZA,-12.0,-11.0,0,0,477.0,0
2025.0,1.0,2025-01-01,1605.0,AZA,BIL,-4.0,0.0,0,0,878.0,0
2025.0,1.0,2025-01-01,3214.0,AZA,PVU,26.0,43.0,0,0,477.0,1
2025.0,1.0,2025-01-01,3223.0,AZA,PVU,-3.0,-3.0,0,0,477.0,0
2025.0,1.0,2025-01-01,3151.0,FNT,PIE,18.0,33.0,0,0,1040.0,1
2025.0,1.0,2025-01-01,3160.0,PIE,FNT,35.0,40.0,0,0,1040.0,1
2025.0,1.0,2025-01-01,2101.0,PIE,DSM,-17.0,-17.0,0,0,1126.0,0
2025.0,1.0,2025-01-01,443.0,DSM,PGD,-7.0,-13.0,0,0,1206.0,0
2025.0,1.0,2025-01-01,454.0,PGD,DSM,-11.0,-22.0,0,0,1206.0,0
2025.0,1.0,2025-01-01,473.0,DSM,PIE,5.0,-7.0,0,0,1126.0,0
2025.0,1.0,2025-01-01,2468.0,TVC,PGD,91.0,127.0,0,0,1245.0,1
2025.0,1.0,2025-01-01,842.0,ALB,PGD,-5.0,51.0,0,0,1185.0,1
2025.0,1.0,2025-01-01,854.0,PGD,ALB,-7.0,-23.0,0,0,1185.0,0
2025.0,1.0,2025-01-01,902.0,PGD,TVC,92.0,85.0,0,0,1245.0,1
2025.0,1.0,2025-01-01,639.0,AZA,BIS,-12.0,-20.0,0,0,1092.0,0
2025.0,1.0,2025-01-01,643.0,BIS,AZA,-15.0,-25.0,0,0,1092.0,0
2025.0,1.0,2025-01-01,660.0,AZA,SGF,111.0,96.0,0,0,1066.0,1
2025.0,1.0,2025-01-01,742.0,SGF,AZA,115.0,126.0,0,0,1066.0,1
2025.0,1.0,2025-01-01,706.0,AZA,SBN,-10.0,-25.0,0,0,1501.0,0
2025.0,1.0,2025-01-01,733.0,SBN,AZA,-12.0,-22.0,0,0,1501.0,0
2025.0,1.0,2025-01-01,3184.0,PIE,ATW,12.0,15.0,0,0,1173.0,1
2025.0,1.0,2025-01-01,3206.0,ATW,PIE,-19.0,24.0,0,0,1173.0,1
2025.0,1.0,2025-01-01,1094.0,OMA,PIE,92.0,78.0,0,0,1188.0,1
2025.0,1.0,2025-01-01,1098.0,PIE,OMA,100.0,92.0,0,0,1188.0,1
2025.0,1.0,2025-01-01,2544.0,PVD,PGD,199.0,268.0,0,0,1184.0,1
2025.0,1.0,2025-01-01,935.0,PGD,PVD,208.0,193.0,0,0,1184.0,1
2025.0,1.0,2025-01-01,1396.0,TYS,EWR,-10.0,-15.0,0,0,631.0,0
2025.0,1.0,2025-01-01,1397.0,EWR,TYS,-16.0,-12.0,0,0,631.0,0
2025.0,1.0,2025-01-01,1435.0,FLL,TYS,-9.0,-21.0,0,0,709.0,0
2025.0,1.0,2025-01-01,3026.0,TYS,FLL,-7.0,-15.0,0,0,709.0,0
2025.0,1.0,2025-01-01,1209.0,PIA,SFB,55.0,50.0,0,0,949.0,1
2025.0,1.0,2025-01-01,1319.0,SFB,PIA,62.0,58.0,0,0,949.0,1
2025.0,1.0,2025-01-01,1331.0,SFB,RFD,-11.0,-20.0,0,0,1025.0,0
2025.0,1.0,2025-01-01,2955.0,RFD,SFB,-8.0,-8.0,0,0,1025.0,0
2025.0,1.0,2025-01-01,2511.0,PGD,USA,44.0,35.0,0,0,588.0,1
2025.0,1.0,2025-01-01,2593.0,PGD,TYS,686.0,681.0,0,0,624.0,1
2025.0,1.0,2025-01-01,926.0,TYS,PGD,-7.0,4.0,0,0,624.0,0
2025.0,1.0,2025-01-01,964.0,USA,PGD,42.0,41.0,0,0,588.0,1
2025.0,1.0,2025-01-01,2490.0,PIA,PGD,328.0,365.0,0,0,1045.0,1
2025.0,1.0,2025-01-01,928.0,PGD,PIA,328.0,315.0,0,0,1045.0,1
2025.0,1.0,2025-01-01,1118.0,PGD,PIT,15.0,15.0,0,0,941.0,1
2025.0,1.0,2025-01-01,1146.0,PIT,PGD,-6.0,-10.0,0,0,941.0,0
2025.0,1.0,2025-01-01,221.0,AVL,FLL,295.0,279.0,0,0,661.0,1
2025.0,1.0,2025-01-01,233.0,FLL,AVL,291.0,283.0,0,0,661.0,1
2025.0,1.0,2025-01-01,237.0,AVL,PGD,-6.0,,0,1,588.0,
2025.0,1.0,2025-01-01,258.0,PGD,AVL,231.0,223.0,0,0,588.0,1
2025.0,1.0,2025-01-01,1413.0,PIE,TYS,-5.0,-8.0,0,0,550.0,0
2025.0,1.0,2025-01-01,3051.0,TYS,PIE,-14.0,-3.0,0,0,550.0,0
2025.0,1.0,2025-01-01,2314.0,AZA,BZN,128.0,129.0,0,0,861.0,1
2025.0,1.0,2025-01-01,652.0,BZN,AZA,129.0,129.0,0,0,861.0,1
2025.0,1.0,2025-01-01,732.0,GRI,AZA,-4.0,7.0,0,0,905.0,0
2025.0,1.0,2025-01-01,751.0,AZA,GRI,-13.0,-27.0,0,0,905.0,0
2025.0,1.0,2025-01-01,3067.0,BLV,VPS,-20.0,-40.0,0,0,587.0,0
2025.0,1.0,2025-01-01,3078.0,BLV,PIE,-17.0,-24.0,0,0,841.0,0
2025.0,1.0,2025-01-01,3103.0,VPS,BLV,-10.0,-18.0,0,0,587.0,0
2025.0,1.0,2025-01-01,3108.0,PIE,BLV,-23.0,-20.0,0,0,841.0,0
2025.0,1.0,2025-01-01,61.0,PSC,LAS,41.0,25.0,0,0,732.0,1
2025.0,1.0,2025-01-01,64.0,LAS,PSC,-3.0,-10.0,0,0,732.0,0
2025.0,1.0,2025-01-01,2006.0,CVG,VPS,-1.0,2.0,0,0,600.0,0
2025.0,1.0,2025-01-01,2008.0,CVG,JAX,-5.0,4.0,0,0,613.0,0
2025.0,1.0,2025-01-01,374.0,VPS,CVG,-4.0,-11.0,0,0,600.0,0
2025.0,1.0,2025-01-01,404.0,JAX,CVG,-2.0,-3.0,0,0,613.0,0
